Pokemon ID,Name,Type 1,Type 2,Description,Abilities,Catch Rate,Gender,Generation
31,Nidoqueen,Poison,Ground,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,"Poison Point, Rivalry, Sheer Force",45,"0% male, 100% female",1
32,Nidoran♂ (male),Poison,,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.","Poison Point, Rivalry, Hustle",235,"100% male, 0% female",1
33,Nidorino,Poison,,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,"Poison Point, Rivalry, Hustle",120,"100% male, 0% female",1
34,Nidoking,Poison,Ground,"It uses its powerful tail in battle to smash, constrict, then break the prey’s bones.","Poison Point, Rivalry, Sheer Force",45,"100% male, 0% female",1
35,Clefairy,Fairy,,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,"Cute Charm, Magic Guard, Friend Guard",150,"25% male, 75% female",1
36,Clefable,Fairy,,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,"Cute Charm, Magic Guard, Unaware",25,"25% male, 75% female",1
37,Vulpix,Fire,,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.","Flash Fire, Drought",190,"25% male, 75% female",1
38,Ninetales,Fire,,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,"Flash Fire, Drought",75,"25% male, 75% female",1
39,Jigglypuff,Normal,Fairy,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","Cute Charm, Competitive, Friend Guard",170,"25% male, 75% female",1
40,Wigglytuff,Normal,Fairy,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","Cute Charm, Competitive, Frisk",50,"25% male, 75% female",1
41,Zubat,Poison,Flying,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,"Inner Focus, Infiltrator",255,"50% male, 50% female",1
42,Golbat,Poison,Flying,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.","Inner Focus, Infiltrator",90,"50% male, 50% female",1
43,Oddish,Grass,Poison,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","Chlorophyll, Run Away",255,"50% male, 50% female",1
44,Gloom,Grass,Poison,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,"Chlorophyll, Stench",120,"50% male, 50% female",1
45,Vileplume,Grass,Poison,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","Chlorophyll, Effect Spore",45,"50% male, 50% female",1
46,Paras,Bug,Grass,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,"Effect Spore, Dry Skin, Damp",190,"50% male, 50% female",1
47,Parasect,Bug,Grass,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,"Effect Spore, Dry Skin, Damp",75,"50% male, 50% female",1
48,Venonat,Bug,Poison,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,"Compound Eyes, Tinted Lens, Run Away",190,"50% male, 50% female",1
49,Venomoth,Bug,Poison,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,"Shield Dust, Tinted Lens, Wonder Skin",75,"50% male, 50% female",1
50,Diglett,Ground,,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,"Sand Veil, Arena Trap, Sand Force",255,"50% male, 50% female",1
51,Dugtrio,Ground,,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,"Sand Veil, Arena Trap, Sand Force",50,"50% male, 50% female",1
52,Meowth,Normal,,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,"Pickup, Technician, Unnerve",255,"50% male, 50% female",1
53,Persian,Normal,,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.","Limber, Technician, Unnerve",90,"50% male, 50% female",1
54,Psyduck,Water,,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.","Damp, Cloud Nine, Swift Swim",190,"50% male, 50% female",1
55,Golduck,Water,,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.","Damp, Cloud Nine, Swift Swim",75,"50% male, 50% female",1
56,Mankey,Fighting,,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,"Vital Spirit, Anger Point, Defiant",190,"50% male, 50% female",1
57,Primeape,Fighting,,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,"Vital Spirit, Anger Point, Defiant",75,"50% male, 50% female",1
58,Growlithe,Fire,,Very protective of its territory. It will bark and bite to repel intruders from its space.,"Intimidate, Flash Fire, Justified",190,"75% male, 25% female",1
59,Arcanine,Fire,,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,"Intimidate, Flash Fire, Justified",75,"75% male, 25% female",1
60,Poliwag,Water,,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,"Water Absorb, Damp, Swift Swim",255,"50% male, 50% female",1
61,Poliwhirl,Water,,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.","Water Absorb, Damp, Swift Swim",120,"50% male, 50% female",1
62,Poliwrath,Water,Fighting,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,"Water Absorb, Damp, Swift Swim",45,"50% male, 50% female",1
63,Abra,Psychic,,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.","Synchronize, Inner Focus, Magic Guard",200,"75% male, 25% female",1
64,Kadabra,Psychic,,It emits special alpha waves from its body that induce headaches just by being close by.,"Synchronize, Inner Focus, Magic Guard",100,"75% male, 25% female",1
65,Alakazam,Psychic,,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000.","Synchronize, Inner Focus, Magic Guard",50,"75% male, 25% female",1
66,Machop,Fighting,,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,"Guts, No Guard, Steadfast",180,"75% male, 25% female",1
67,Machoke,Fighting,,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.","Guts, No Guard, Steadfast",90,"75% male, 25% female",1
68,Machamp,Fighting,,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.","Guts, No Guard, Steadfast",45,"75% male, 25% female",1
69,Bellsprout,Grass,Poison,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,"Chlorophyll, Gluttony",255,"50% male, 50% female",1
70,Weepinbell,Grass,Poison,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,"Chlorophyll, Gluttony",120,"50% male, 50% female",1
71,Victreebel,Grass,Poison,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.","Chlorophyll, Gluttony",45,"50% male, 50% female",1
72,Tentacool,Water,Poison,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,"Clear Body, Liquid Ooze, Rain Dish",190,"50% male, 50% female",1
73,Tentacruel,Water,Poison,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.","Clear Body, Liquid Ooze, Rain Dish",60,"50% male, 50% female",1
74,Geodude,Rock,Ground,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.","Rock Head, Sturdy, Sand Veil",255,"50% male, 50% female",1
75,Graveler,Rock,Ground,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,"Rock Head, Sturdy, Sand Veil",120,"50% male, 50% female",1
76,Golem,Rock,Ground,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,"Rock Head, Sturdy, Sand Veil",45,"50% male, 50% female",1
77,Ponyta,Fire,,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,"Run Away, Flash Fire, Flame Body",190,"50% male, 50% female",1
78,Rapidash,Fire,,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.","Run Away, Flash Fire, Flame Body",60,"50% male, 50% female",1
79,Slowpoke,Water,Psychic,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,"Oblivious, Own Tempo, Regenerator",190,"50% male, 50% female",1
80,Slowbro,Water,Psychic,The SHELLDER that is latched onto SLOWPOKE’s tail is said to feed on the host’s left over scraps.,"Oblivious, Own Tempo, Regenerator",75,"50% male, 50% female",1
81,Magnemite,Electric,Steel,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,"Magnet Pull, Sturdy, Analytic",190,,1
82,Magneton,Electric,Steel,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,"Magnet Pull, Sturdy, Analytic",60,,1
83,Farfetch'd,Normal,Flying,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,"Keen Eye, Inner Focus, Defiant",45,"50% male, 50% female",1
84,Doduo,Normal,Flying,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,"Run Away, Early Bird, Tangled Feet",190,"50% male, 50% female",1
85,Dodrio,Normal,Flying,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.","Run Away, Early Bird, Tangled Feet",45,"50% male, 50% female",1
86,Seel,Water,,The protruding horn on its head is very hard. It is used for bashing through thick ice.,"Thick Fat, Hydration, Ice Body",190,"50% male, 50% female",1
87,Dewgong,Water,Ice,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,"Thick Fat, Hydration, Ice Body",75,"50% male, 50% female",1
88,Grimer,Poison,,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,"Stench, Sticky Hold, Poison Touch",190,"50% male, 50% female",1
89,Muk,Poison,,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.","Stench, Sticky Hold, Poison Touch",75,"50% male, 50% female",1
90,Shellder,Water,,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,"Shell Armor, Skill Link, Overcoat",190,"50% male, 50% female",1
91,Cloyster,Water,Ice,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.","Shell Armor, Skill Link, Overcoat",60,"50% male, 50% female",1
92,Gastly,Ghost,Poison,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",Levitate,190,"50% male, 50% female",1
93,Haunter,Ghost,Poison,"Because of its ability to slip through block walls, it is said to be from another dimension.",Levitate,90,"50% male, 50% female",1
94,Gengar,Ghost,Poison,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",Cursed Body,45,"50% male, 50% female",1
95,Onix,Rock,Ground,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.","Rock Head, Sturdy, Weak Armor",45,"50% male, 50% female",1
96,Drowzee,Psychic,,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,"Insomnia, Forewarn, Inner Focus",190,"50% male, 50% female",1
97,Hypno,Psychic,,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.","Insomnia, Forewarn, Inner Focus",75,"50% male, 50% female",1
98,Krabby,Water,,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.","Hyper Cutter, Shell Armor, Sheer Force",225,"50% male, 50% female",1
99,Kingler,Water,,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.","Hyper Cutter, Shell Armor, Sheer Force",60,"50% male, 50% female",1
100,Voltorb,Electric,,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.","Soundproof, Static, Aftermath",190,,1
101,Electrode,Electric,,It stores electric energy under very high pressure. It often explodes with little or no provocation.,"Soundproof, Static, Aftermath",60,,1
102,Exeggcute,Grass,Psychic,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.","Chlorophyll, Harvest",90,"50% male, 50% female",1
103,Exeggutor,Grass,Psychic,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.","Chlorophyll, Harvest",45,"50% male, 50% female",1
104,Cubone,Ground,,"Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face.","Rock Head, Lightning Rod, Battle Armor",190,"50% male, 50% female",1
105,Marowak,Ground,,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,"Rock Head, Lightning Rod, Battle Armor",75,"50% male, 50% female",1
106,Hitmonlee,Fighting,,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.","Limber, Reckless, Unburden",45,"100% male, 0% female",1
107,Hitmonchan,Fighting,,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.","Keen Eye, Iron Fist, Inner Focus",45,"100% male, 0% female",1
108,Lickitung,Normal,,Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.,"Own Tempo, Oblivious, Cloud Nine",45,"50% male, 50% female",1
109,Koffing,Poison,,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.","Levitate, Neutralizing Gas, Stench",190,"50% male, 50% female",1
110,Weezing,Poison,,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.","Levitate, Neutralizing Gas, Stench",60,"50% male, 50% female",1
111,Rhyhorn,Ground,Rock,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.,"Lightning Rod, Rock Head, Reckless",120,"50% male, 50% female",1
112,Rhydon,Ground,Rock,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.","Lightning Rod, Rock Head, Reckless",60,"50% male, 50% female",1
113,Chansey,Normal,,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,"Natural Cure, Serene Grace, Healer",30,"0% male, 100% female",1
114,Tangela,Grass,,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.,"Chlorophyll, Leaf Guard, Regenerator",45,"50% male, 50% female",1
115,Kangaskhan,Normal,,The infant rarely ventures out of its mother’s protective pouch until it is 3 years old.,"Early Bird, Scrappy, Inner Focus",45,"0% male, 100% female",1
116,Horsea,Water,,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,"Swift Swim, Sniper, Damp",225,"50% male, 50% female",1
117,Seadra,Water,,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,"Poison Point, Sniper, Damp",75,"50% male, 50% female",1
118,Goldeen,Water,,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.","Swift Swim, Water Veil, Lightning Rod",225,"50% male, 50% female",1
119,Seaking,Water,,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.","Swift Swim, Water Veil, Lightning Rod",60,"50% male, 50% female",1
120,Staryu,Water,,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.,"Illuminate, Natural Cure, Analytic",225,,1
121,Starmie,Water,Psychic,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,"Illuminate, Natural Cure, Analytic",60,,1
122,Mr. Mime,Psychic,Fairy,"If interrupted while it is miming, it will slap around the offender with its broad hands.","Soundproof, Filter, Technician",45,"50% male, 50% female",1
123,Scyther,Bug,Flying,"With ninja-like agility and speed, it can create the illusion that there is more than one.","Swarm, Technician, Steadfast",45,"50% male, 50% female",1
124,Jynx,Ice,Psychic,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.,"Oblivious, Forewarn, Dry Skin",45,"0% male, 100% female",1
125,Electabuzz,Electric,,"Normally found near power plants, they can wander away and cause major blackouts in cities.","Static, Vital Spirit",45,"75% male, 25% female",1
126,Magmar,Fire,,Its body always burns with an orange glow that enables it to hide perfectly among flames.,"Flame Body, Vital Spirit",45,"75% male, 25% female",1
127,Pinsir,Bug,,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard.","Hyper Cutter, Mold Breaker, Moxie",45,"50% male, 50% female",1
128,Tauros,Normal,,"When it targets an enemy, it charges furiously while whipping its body with its long tails.","Intimidate, Anger Point, Sheer Force",45,"100% male, 0% female",1
129,Magikarp,Water,,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.","Swift Swim, Rattled",255,"50% male, 50% female",1
130,Gyarados,Water,Flying,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","Intimidate, Moxie",45,"50% male, 50% female",1
131,Lapras,Water,Ice,A POKéMON that has been overhunted almost to extinction. It can ferry people across the water.,"Water Absorb, Shell Armor, Hydration",45,"50% male, 50% female",1
132,Ditto,Normal,,Capable of copying an enemy’s genetic code to instantly transform itself into a duplicate of the enemy.,"Limber, Imposter",35,,1
133,Eevee,Normal,,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,"Run Away, Adaptability, Anticipation",45,"87.5% male, 12.5% female",1
134,Vaporeon,Water,,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid’s.,"Water Absorb, Hydration",45,"87.5% male, 12.5% female",1
135,Jolteon,Electric,,It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.,"Volt Absorb, Quick Feet",45,"87.5% male, 12.5% female",1
136,Flareon,Fire,,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.","Flash Fire, Guts",45,"87.5% male, 12.5% female",1
137,Porygon,Normal,,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,"Trace, Download, Analytic",45,,1
138,Omanyte,Rock,Water,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.","Swift Swim, Shell Armor, Weak Armor",45,"87.5% male, 12.5% female",1
139,Omastar,Rock,Water,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,"Swift Swim, Shell Armor, Weak Armor",45,"87.5% male, 12.5% female",1
140,Kabuto,Rock,Water,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,"Swift Swim, Battle Armor, Weak Armor",45,"87.5% male, 12.5% female",1
141,Kabutops,Rock,Water,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.,"Swift Swim, Battle Armor, Weak Armor",45,"87.5% male, 12.5% female",1
142,Aerodactyl,Rock,Flying,"A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated saw-like fangs.","Rock Head, Pressure, Unnerve",45,"87.5% male, 12.5% female",1
143,Snorlax,Normal,,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.","Immunity, Thick Fat, Gluttony",25,"87.5% male, 12.5% female",1
144,Articuno,Ice,Flying,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,"Pressure, Snow Cloak",3,,1
145,Zapdos,Electric,Flying,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,"Pressure, Static",3,,1
146,Moltres,Fire,Flying,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,"Pressure, Flame Body",3,,1
147,Dratini,Dragon,,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,"Shed Skin, Marvel Scale",45,"50% male, 50% female",1
148,Dragonair,Dragon,,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,"Shed Skin, Marvel Scale",45,"50% male, 50% female",1
149,Dragonite,Dragon,Flying,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,"Inner Focus, Multiscale",45,"50% male, 50% female",1
150,Mewtwo,Psychic,,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,"Pressure, Unnerve",3,,1
151,Mew,Psychic,,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,Synchronize,45,,1
152,Chikorita,Grass,,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun’s rays.,"Overgrow, Leaf Guard",45,"87.5% male, 12.5% female",2
153,Bayleef,Grass,,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight.","Overgrow, Leaf Guard",45,"87.5% male, 12.5% female",2
154,Meganium,Grass,,The aroma that rises from its petals contains a substance that calms aggressive feelings.,"Overgrow, Leaf Guard",45,"87.5% male, 12.5% female",2
155,Cyndaquil,Fire,,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection.","Blaze, Flash Fire",45,"87.5% male, 12.5% female",2
156,Quilava,Fire,,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.,"Blaze, Flash Fire",45,"87.5% male, 12.5% female",2
157,Typhlosion,Fire,,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.","Blaze, Flash Fire",45,"87.5% male, 12.5% female",2
158,Totodile,Water,,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.,"Torrent, Sheer Force",45,"87.5% male, 12.5% female",2
159,Croconaw,Water,,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.","Torrent, Sheer Force",45,"87.5% male, 12.5% female",2
160,Feraligatr,Water,,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.","Torrent, Sheer Force",45,"87.5% male, 12.5% female",2
161,Sentret,Normal,,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings.","Run Away, Keen Eye, Frisk",255,"50% male, 50% female",2
162,Furret,Normal,,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.,"Run Away, Keen Eye, Frisk",90,"50% male, 50% female",2
163,Hoothoot,Normal,Flying,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.","Insomnia, Keen Eye, Tinted Lens",255,"50% male, 50% female",2
164,Noctowl,Normal,Flying,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,"Insomnia, Keen Eye, Tinted Lens",90,"50% male, 50% female",2
165,Ledyba,Bug,Flying,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,"Swarm, Early Bird, Rattled",255,"50% male, 50% female",2
166,Ledian,Bug,Flying,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.","Swarm, Early Bird, Iron Fist",90,"50% male, 50% female",2
167,Spinarak,Bug,Poison,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.","Swarm, Insomnia, Sniper",255,"50% male, 50% female",2
168,Ariados,Bug,Poison,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,"Swarm, Insomnia, Sniper",90,"50% male, 50% female",2
169,Crobat,Poison,Flying,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.,"Inner Focus, Infiltrator",90,"50% male, 50% female",2
170,Chinchou,Water,Electric,It shoots positive and negative electricity between the tips of its two antennae and zaps its enemies.,"Volt Absorb, Illuminate, Water Absorb",190,"50% male, 50% female",2
171,Lanturn,Water,Electric,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.,"Volt Absorb, Illuminate, Water Absorb",75,"50% male, 50% female",2
172,Pichu,Electric,,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,"Static, Lightning Rod",190,"50% male, 50% female",2
173,Cleffa,Fairy,,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.","Cute Charm, Magic Guard, Friend Guard",150,"25% male, 75% female",2
174,Igglybuff,Normal,Fairy,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.","Cute Charm, Competitive, Friend Guard",170,"25% male, 75% female",2
175,Togepi,Fairy,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,"Hustle, Serene Grace, Super Luck",190,"87.5% male, 12.5% female",2
176,Togetic,Fairy,Flying,"They say that it will appear before kindhearted, caring people and shower them with happiness.","Hustle, Serene Grace, Super Luck",75,"87.5% male, 12.5% female",2
177,Natu,Psychic,Flying,"Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something.","Synchronize, Early Bird, Magic Bounce",190,"50% male, 50% female",2
