Pokemon ID,Name,Type 1,Type 2,Description,Abilities,Catch Rate,Gender,Generation,HP,Attack,Defense,Sp. Atk,SP. Def,Speed,Total
29,Nidoran♀ (female),Poison,,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.","Poison Point, Rivalry, Hustle",235,"0% male, 100% female",1,55,47,52,40,40,41,275
30,Nidorina,Poison,,The female’s horn develops slowly. Prefers physical attacks such as clawing and biting.,"Poison Point, Rivalry, Hustle",120,"0% male, 100% female",1,70,62,67,55,55,56,365
31,Nidoqueen,Poison,Ground,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,"Poison Point, Rivalry, Sheer Force",45,"0% male, 100% female",1,90,92,87,75,85,76,505
32,Nidoran♂ (male),Poison,,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.","Poison Point, Rivalry, Hustle",235,"100% male, 0% female",1,46,57,40,40,40,50,273
33,Nidorino,Poison,,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,"Poison Point, Rivalry, Hustle",120,"100% male, 0% female",1,61,72,57,55,55,65,365
34,Nidoking,Poison,Ground,"It uses its powerful tail in battle to smash, constrict, then break the prey’s bones.","Poison Point, Rivalry, Sheer Force",45,"100% male, 0% female",1,81,102,77,85,75,85,505
35,Clefairy,Fairy,,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,"Cute Charm, Magic Guard, Friend Guard",150,"25% male, 75% female",1,70,45,48,60,65,35,323
36,Clefable,Fairy,,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,"Cute Charm, Magic Guard, Unaware",25,"25% male, 75% female",1,95,70,73,95,90,60,483
37,Vulpix,Fire,,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.","Flash Fire, Drought",190,"25% male, 75% female",1,38,41,40,50,65,65,299
38,Ninetales,Fire,,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,"Flash Fire, Drought",75,"25% male, 75% female",1,73,76,75,81,100,100,505
39,Jigglypuff,Normal,Fairy,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","Cute Charm, Competitive, Friend Guard",170,"25% male, 75% female",1,115,45,20,45,25,20,270
40,Wigglytuff,Normal,Fairy,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","Cute Charm, Competitive, Frisk",50,"25% male, 75% female",1,140,70,45,85,50,45,435
41,Zubat,Poison,Flying,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,"Inner Focus, Infiltrator",255,"50% male, 50% female",1,40,45,35,30,40,55,245
42,Golbat,Poison,Flying,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.","Inner Focus, Infiltrator",90,"50% male, 50% female",1,75,80,70,65,75,90,455
43,Oddish,Grass,Poison,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","Chlorophyll, Run Away",255,"50% male, 50% female",1,45,50,55,75,65,30,320
44,Gloom,Grass,Poison,The fluid that oozes from its mouth isn’t drool. It is a nectar that is used to attract prey.,"Chlorophyll, Stench",120,"50% male, 50% female",1,60,65,70,85,75,40,395
45,Vileplume,Grass,Poison,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","Chlorophyll, Effect Spore",45,"50% male, 50% female",1,75,80,85,110,90,50,490
46,Paras,Bug,Grass,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,"Effect Spore, Dry Skin, Damp",190,"50% male, 50% female",1,35,70,55,45,55,25,285
47,Parasect,Bug,Grass,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,"Effect Spore, Dry Skin, Damp",75,"50% male, 50% female",1,60,95,80,60,80,30,405
48,Venonat,Bug,Poison,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,"Compound Eyes, Tinted Lens, Run Away",190,"50% male, 50% female",1,60,55,50,40,55,45,305
49,Venomoth,Bug,Poison,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,"Shield Dust, Tinted Lens, Wonder Skin",75,"50% male, 50% female",1,70,65,60,90,75,90,450
50,Diglett,Ground,,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,"Sand Veil, Arena Trap, Sand Force",255,"50% male, 50% female",1,10,55,25,35,45,95,265
51,Dugtrio,Ground,,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,"Sand Veil, Arena Trap, Sand Force",50,"50% male, 50% female",1,35,100,50,50,70,120,425
52,Meowth,Normal,,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,"Pickup, Technician, Unnerve",255,"50% male, 50% female",1,40,45,35,40,40,90,290
53,Persian,Normal,,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.","Limber, Technician, Unnerve",90,"50% male, 50% female",1,65,70,60,65,65,115,440
54,Psyduck,Water,,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.","Damp, Cloud Nine, Swift Swim",190,"50% male, 50% female",1,50,52,48,65,50,55,320
55,Golduck,Water,,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.","Damp, Cloud Nine, Swift Swim",75,"50% male, 50% female",1,80,82,78,95,80,85,500
56,Mankey,Fighting,,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,"Vital Spirit, Anger Point, Defiant",190,"50% male, 50% female",1,40,80,35,35,45,70,305
57,Primeape,Fighting,,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,"Vital Spirit, Anger Point, Defiant",75,"50% male, 50% female",1,65,105,60,60,70,95,455
58,Growlithe,Fire,,Very protective of its territory. It will bark and bite to repel intruders from its space.,"Intimidate, Flash Fire, Justified",190,"75% male, 25% female",1,55,70,45,70,50,60,350
59,Arcanine,Fire,,A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,"Intimidate, Flash Fire, Justified",75,"75% male, 25% female",1,90,110,80,100,80,95,555
60,Poliwag,Water,,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,"Water Absorb, Damp, Swift Swim",255,"50% male, 50% female",1,40,50,40,40,40,90,300
61,Poliwhirl,Water,,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy.","Water Absorb, Damp, Swift Swim",120,"50% male, 50% female",1,65,65,65,50,50,90,385
62,Poliwrath,Water,Fighting,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,"Water Absorb, Damp, Swift Swim",45,"50% male, 50% female",1,90,95,95,70,90,70,510
63,Abra,Psychic,,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety.","Synchronize, Inner Focus, Magic Guard",200,"75% male, 25% female",1,25,20,15,105,55,90,310
64,Kadabra,Psychic,,It emits special alpha waves from its body that induce headaches just by being close by.,"Synchronize, Inner Focus, Magic Guard",100,"75% male, 25% female",1,40,35,30,120,70,105,400
65,Alakazam,Psychic,,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000.","Synchronize, Inner Focus, Magic Guard",50,"75% male, 25% female",1,55,50,45,135,95,120,500
66,Machop,Fighting,,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,"Guts, No Guard, Steadfast",180,"75% male, 25% female",1,70,80,50,35,35,35,305
67,Machoke,Fighting,,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.","Guts, No Guard, Steadfast",90,"75% male, 25% female",1,80,100,70,50,60,45,405
68,Machamp,Fighting,,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.","Guts, No Guard, Steadfast",45,"75% male, 25% female",1,90,130,80,65,85,55,505
69,Bellsprout,Grass,Poison,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,"Chlorophyll, Gluttony",255,"50% male, 50% female",1,50,75,35,70,30,40,300
70,Weepinbell,Grass,Poison,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,"Chlorophyll, Gluttony",120,"50% male, 50% female",1,65,90,50,85,45,55,390
71,Victreebel,Grass,Poison,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.","Chlorophyll, Gluttony",45,"50% male, 50% female",1,80,105,65,100,70,70,490
72,Tentacool,Water,Poison,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,"Clear Body, Liquid Ooze, Rain Dish",190,"50% male, 50% female",1,40,40,35,50,100,70,335
73,Tentacruel,Water,Poison,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.","Clear Body, Liquid Ooze, Rain Dish",60,"50% male, 50% female",1,80,70,65,80,120,100,515
74,Geodude,Rock,Ground,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.","Rock Head, Sturdy, Sand Veil",255,"50% male, 50% female",1,40,80,100,30,30,20,300
75,Graveler,Rock,Ground,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,"Rock Head, Sturdy, Sand Veil",120,"50% male, 50% female",1,55,95,115,45,45,35,390
76,Golem,Rock,Ground,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,"Rock Head, Sturdy, Sand Veil",45,"50% male, 50% female",1,80,120,130,55,65,45,495
77,Ponyta,Fire,,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,"Run Away, Flash Fire, Flame Body",190,"50% male, 50% female",1,50,85,55,65,65,90,410
78,Rapidash,Fire,,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.","Run Away, Flash Fire, Flame Body",60,"50% male, 50% female",1,65,100,70,80,80,105,500
79,Slowpoke,Water,Psychic,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,"Oblivious, Own Tempo, Regenerator",190,"50% male, 50% female",1,90,65,65,40,40,15,315
80,Slowbro,Water,Psychic,The SHELLDER that is latched onto SLOWPOKE’s tail is said to feed on the host’s left over scraps.,"Oblivious, Own Tempo, Regenerator",75,"50% male, 50% female",1,95,75,110,100,80,30,490
81,Magnemite,Electric,Steel,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.,"Magnet Pull, Sturdy, Analytic",190,,1,25,35,70,95,55,45,325
82,Magneton,Electric,Steel,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.,"Magnet Pull, Sturdy, Analytic",60,,1,50,60,95,120,70,70,465
83,Farfetch'd,Normal,Flying,The sprig of green onions it holds is its weapon. It is used much like a metal sword.,"Keen Eye, Inner Focus, Defiant",45,"50% male, 50% female",1,52,90,55,58,62,60,377
84,Doduo,Normal,Flying,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.,"Run Away, Early Bird, Tangled Feet",190,"50% male, 50% female",1,35,85,45,35,35,75,310
85,Dodrio,Normal,Flying,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.","Run Away, Early Bird, Tangled Feet",45,"50% male, 50% female",1,60,110,70,60,60,110,470
86,Seel,Water,,The protruding horn on its head is very hard. It is used for bashing through thick ice.,"Thick Fat, Hydration, Ice Body",190,"50% male, 50% female",1,65,45,55,45,70,45,325
87,Dewgong,Water,Ice,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.,"Thick Fat, Hydration, Ice Body",75,"50% male, 50% female",1,90,70,80,70,95,70,475
88,Grimer,Poison,,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.,"Stench, Sticky Hold, Poison Touch",190,"50% male, 50% female",1,80,80,50,40,50,25,325
89,Muk,Poison,,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison.","Stench, Sticky Hold, Poison Touch",75,"50% male, 50% female",1,105,105,75,65,100,50,500
90,Shellder,Water,,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,"Shell Armor, Skill Link, Overcoat",190,"50% male, 50% female",1,30,65,100,45,25,40,305
91,Cloyster,Water,Ice,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.","Shell Armor, Skill Link, Overcoat",60,"50% male, 50% female",1,50,95,180,85,45,70,525
92,Gastly,Ghost,Poison,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice.",Levitate,190,"50% male, 50% female",1,30,35,30,100,35,80,310
93,Haunter,Ghost,Poison,"Because of its ability to slip through block walls, it is said to be from another dimension.",Levitate,90,"50% male, 50% female",1,45,50,45,115,55,95,405
94,Gengar,Ghost,Poison,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright.",Cursed Body,45,"50% male, 50% female",1,60,65,60,130,75,110,500
95,Onix,Rock,Ground,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black.","Rock Head, Sturdy, Weak Armor",45,"50% male, 50% female",1,35,45,160,30,45,70,385
96,Drowzee,Psychic,,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.,"Insomnia, Forewarn, Inner Focus",190,"50% male, 50% female",1,60,48,45,43,90,42,328
97,Hypno,Psychic,,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION.","Insomnia, Forewarn, Inner Focus",75,"50% male, 50% female",1,85,73,70,73,115,67,483
98,Krabby,Water,,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.","Hyper Cutter, Shell Armor, Sheer Force",225,"50% male, 50% female",1,30,105,90,25,25,50,325
99,Kingler,Water,,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use.","Hyper Cutter, Shell Armor, Sheer Force",60,"50% male, 50% female",1,55,130,115,50,50,75,475
100,Voltorb,Electric,,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people.","Soundproof, Static, Aftermath",190,,1,40,30,50,55,55,100,330
101,Electrode,Electric,,It stores electric energy under very high pressure. It often explodes with little or no provocation.,"Soundproof, Static, Aftermath",60,,1,60,50,70,80,80,150,490
102,Exeggcute,Grass,Psychic,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.","Chlorophyll, Harvest",90,"50% male, 50% female",1,60,40,80,60,45,40,325
103,Exeggutor,Grass,Psychic,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.","Chlorophyll, Harvest",45,"50% male, 50% female",1,95,95,85,125,75,55,530
104,Cubone,Ground,,"Because it never removes its skull helmet, no one has ever seen this POKéMON’s real face.","Rock Head, Lightning Rod, Battle Armor",190,"50% male, 50% female",1,50,50,95,40,50,35,320
105,Marowak,Ground,,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,"Rock Head, Lightning Rod, Battle Armor",75,"50% male, 50% female",1,60,80,110,50,80,45,425
106,Hitmonlee,Fighting,,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides.","Limber, Reckless, Unburden",45,"100% male, 0% female",1,50,120,53,35,110,87,455
107,Hitmonchan,Fighting,,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see.","Keen Eye, Iron Fist, Inner Focus",45,"100% male, 0% female",1,50,105,79,35,110,76,455
108,Lickitung,Normal,,Its tongue can be extended like a chameleon’s. It leaves a tingling sensation when it licks enemies.,"Own Tempo, Oblivious, Cloud Nine",45,"50% male, 50% female",1,90,55,75,60,75,30,385
109,Koffing,Poison,,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.","Levitate, Neutralizing Gas, Stench",190,"50% male, 50% female",1,40,65,95,60,45,35,340
110,Weezing,Poison,,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.","Levitate, Neutralizing Gas, Stench",60,"50% male, 50% female",1,65,90,120,85,70,60,490
111,Rhyhorn,Ground,Rock,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.,"Lightning Rod, Rock Head, Reckless",120,"50% male, 50% female",1,80,85,95,30,30,25,345
112,Rhydon,Ground,Rock,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.","Lightning Rod, Rock Head, Reckless",60,"50% male, 50% female",1,105,130,120,45,45,40,485
113,Chansey,Normal,,A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.,"Natural Cure, Serene Grace, Healer",30,"0% male, 100% female",1,250,5,5,35,105,50,450
114,Tangela,Grass,,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.,"Chlorophyll, Leaf Guard, Regenerator",45,"50% male, 50% female",1,65,55,115,100,40,60,435
115,Kangaskhan,Normal,,The infant rarely ventures out of its mother’s protective pouch until it is 3 years old.,"Early Bird, Scrappy, Inner Focus",45,"0% male, 100% female",1,105,95,80,40,80,90,490
116,Horsea,Water,,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,"Swift Swim, Sniper, Damp",225,"50% male, 50% female",1,30,40,70,70,25,60,295
117,Seadra,Water,,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.,"Poison Point, Sniper, Damp",75,"50% male, 50% female",1,55,65,95,95,45,85,440
118,Goldeen,Water,,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.","Swift Swim, Water Veil, Lightning Rod",225,"50% male, 50% female",1,45,67,60,35,50,63,320
119,Seaking,Water,,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.","Swift Swim, Water Veil, Lightning Rod",60,"50% male, 50% female",1,80,92,65,65,80,68,450
120,Staryu,Water,,An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle.,"Illuminate, Natural Cure, Analytic",225,,1,30,45,55,70,55,85,340
121,Starmie,Water,Psychic,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,"Illuminate, Natural Cure, Analytic",60,,1,60,75,85,100,85,115,520
122,Mr. Mime,Psychic,Fairy,"If interrupted while it is miming, it will slap around the offender with its broad hands.","Soundproof, Filter, Technician",45,"50% male, 50% female",1,40,45,65,100,120,90,460
123,Scyther,Bug,Flying,"With ninja-like agility and speed, it can create the illusion that there is more than one.","Swarm, Technician, Steadfast",45,"50% male, 50% female",1,70,110,80,55,80,105,500
124,Jynx,Ice,Psychic,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.,"Oblivious, Forewarn, Dry Skin",45,"0% male, 100% female",1,65,50,35,115,95,95,455
125,Electabuzz,Electric,,"Normally found near power plants, they can wander away and cause major blackouts in cities.","Static, Vital Spirit",45,"75% male, 25% female",1,65,83,57,95,85,105,490
126,Magmar,Fire,,Its body always burns with an orange glow that enables it to hide perfectly among flames.,"Flame Body, Vital Spirit",45,"75% male, 25% female",1,65,95,57,100,85,93,495
127,Pinsir,Bug,,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard.","Hyper Cutter, Mold Breaker, Moxie",45,"50% male, 50% female",1,65,125,100,55,70,85,500
128,Tauros,Normal,,"When it targets an enemy, it charges furiously while whipping its body with its long tails.","Intimidate, Anger Point, Sheer Force",45,"100% male, 0% female",1,75,100,95,40,70,110,490
129,Magikarp,Water,,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.","Swift Swim, Rattled",255,"50% male, 50% female",1,20,10,55,15,20,80,200
130,Gyarados,Water,Flying,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","Intimidate, Moxie",45,"50% male, 50% female",1,95,125,79,60,100,81,540
131,Lapras,Water,Ice,A POKéMON that has been overhunted almost to extinction. It can ferry people across the water.,"Water Absorb, Shell Armor, Hydration",45,"50% male, 50% female",1,130,85,80,85,95,60,535
132,Ditto,Normal,,Capable of copying an enemy’s genetic code to instantly transform itself into a duplicate of the enemy.,"Limber, Imposter",35,,1,48,48,48,48,48,48,288
133,Eevee,Normal,,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.,"Run Away, Adaptability, Anticipation",45,"87.5% male, 12.5% female",1,55,55,50,45,65,55,325
134,Vaporeon,Water,,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid’s.,"Water Absorb, Hydration",45,"87.5% male, 12.5% female",1,130,65,60,110,95,65,525
135,Jolteon,Electric,,It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts.,"Volt Absorb, Quick Feet",45,"87.5% male, 12.5% female",1,65,65,60,110,95,130,525
136,Flareon,Fire,,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.","Flash Fire, Guts",45,"87.5% male, 12.5% female",1,65,130,60,95,110,65,525
137,Porygon,Normal,,A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace.,"Trace, Download, Analytic",45,,1,65,60,70,85,75,40,395
138,Omanyte,Rock,Water,"Although long extinct, in rare cases, it can be genetically resurrected from fossils.","Swift Swim, Shell Armor, Weak Armor",45,"87.5% male, 12.5% female",1,35,40,100,90,55,35,355
139,Omastar,Rock,Water,A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.,"Swift Swim, Shell Armor, Weak Armor",45,"87.5% male, 12.5% female",1,70,60,125,115,70,55,495
140,Kabuto,Rock,Water,A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago.,"Swift Swim, Battle Armor, Weak Armor",45,"87.5% male, 12.5% female",1,30,80,90,55,45,55,355
141,Kabutops,Rock,Water,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids.,"Swift Swim, Battle Armor, Weak Armor",45,"87.5% male, 12.5% female",1,60,115,105,65,70,80,495
142,Aerodactyl,Rock,Flying,"A ferocious, prehistoric POKéMON that goes for the enemy’s throat with its serrated saw-like fangs.","Rock Head, Pressure, Unnerve",45,"87.5% male, 12.5% female",1,80,105,65,60,75,130,515
143,Snorlax,Normal,,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.","Immunity, Thick Fat, Gluttony",25,"87.5% male, 12.5% female",1,160,110,65,65,110,30,540
144,Articuno,Ice,Flying,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,"Pressure, Snow Cloak",3,,1,90,85,100,95,125,85,580
145,Zapdos,Electric,Flying,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,"Pressure, Static",3,,1,90,90,85,125,90,100,580
146,Moltres,Fire,Flying,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,"Pressure, Flame Body",3,,1,90,100,90,125,85,90,580
147,Dratini,Dragon,,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,"Shed Skin, Marvel Scale",45,"50% male, 50% female",1,41,64,45,50,50,50,300
148,Dragonair,Dragon,,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,"Shed Skin, Marvel Scale",45,"50% male, 50% female",1,61,84,65,70,70,70,420
149,Dragonite,Dragon,Flying,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,"Inner Focus, Multiscale",45,"50% male, 50% female",1,91,134,95,100,100,80,600
